,StationName,City,State,FullAddress,location,latitude,longitude,road_distance,river_distance,industry_distance
59,"Phase-1 GIDC, Vapi - GPCB",Vapi,Gujarat,"Vapi, Gujarat, India","Vapi, Daman Road, Vapi, Vapi Taluka, Valsad, Gujarat, 396191, India",20.3735482,72.9084376,15.335546831608994,1542.1242537726148,1022.757012161755
60,"Phase-4 GIDC, Vatva - GPCB",Vatva,Gujarat,"Vatva, Gujarat, India","Vatva, Vatva phase -2 road, Vatva Gidc, Vatva Taluka, Ahmedabad, Gujarat, 382445, India",22.9589978,72.6297981,11.454340744013722,1176.3023786536633,35.10636998849988
61,"Patti Mehar, Ambala - HSPCB",Ambala,Haryana,"Ambala, Haryana, India","Ambala, Ambala Cantt, Ambala, Haryana, 134002, India",30.3843674,76.770421,39.92666643622769,761.0079800425672,1471.549854763145
62,"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh,Haryana,"Bahadurgarh, Haryana, India","Bahadurgarh, Jhajjar, Haryana, India",28.6609648,76.8346765,3.534755617905751,725.7641373349412,6814.363228485566
63,"Nathu Colony, Ballabgarh - HSPCB",Ballabgarh,Haryana,"Ballabgarh, Haryana, India","Ballabgarh, Faridabad, Haryana, India",28.2940728,77.3592238,39.48170715116679,1903.0992936423468,4108.902588587184
64,"H.B. Colony, Bhiwani - HSPCB",Bhiwani,Haryana,"Bhiwani, Haryana, India","Bhiwani, Haryana, 125021, India",28.7931703,76.1391283,2.4389451097857004,258.92258273580086,1277.1985853930275
65,"Municipal Corporation Office, Dharuhera - HSPCB",Dharuhera,Haryana,"Dharuhera, Haryana, India","Dharuhera, Rewari, Haryana, 123106, India",28.2055216,76.7953099,10.057636792107855,3127.936765154635,531.3712434369791
66,"New Industrial Town, Faridabad - HSPCB",Faridabad,Haryana,"Faridabad, Haryana, India","Faridabad, Haryana, 121001, India",28.4031478,77.3105561,46.83757280147493,823.8190338509108,1287.572048645254
67,"Sector 11, Faridabad - HSPCB",Faridabad,Haryana,"Faridabad, Haryana, India","Faridabad, Haryana, 121001, India",28.4031478,77.3105561,46.83757280147493,823.8190338509108,1287.572048645254
68,"Sector 30, Faridabad - HSPCB",Faridabad,Haryana,"Faridabad, Haryana, India","Faridabad, Haryana, 121001, India",28.4031478,77.3105561,46.83757280147493,823.8190338509108,1287.572048645254
69,"Sector- 16A, Faridabad - HSPCB",Faridabad,Haryana,"Faridabad, Haryana, India","Faridabad, Haryana, 121001, India",28.4031478,77.3105561,46.83757280147493,823.8190338509108,1287.572048645254
70,"Huda Sector, Fatehabad - HSPCB",Fatehabad,Haryana,"Fatehabad, Haryana, India","Fatehabad, Haryana, India",29.5359209,75.5752901,195.11751226318495,2597.726501370436,10064.249980862553
71,"NISE Gwal Pahari, Gurugram - IMD",Gurugram,Haryana,"Gurugram, Haryana, India","Gurugram, Haryana, India",28.4646148,77.0299194,22.767007810485932,920.6391137409985,2459.9117959820674
72,"Sector-51, Gurugram - HSPCB",Gurugram,Haryana,"Gurugram, Haryana, India","Gurugram, Haryana, India",28.4646148,77.0299194,22.767007810485932,920.6391137409985,2459.9117959820674
73,"Teri Gram, Gurugram - HSPCB",Gurugram,Haryana,"Gurugram, Haryana, India","Gurugram, Haryana, India",28.4646148,77.0299194,22.767007810485932,920.6391137409985,2459.9117959820674
