StationName,City,State,FullAddress,location,latitude,longitude
"Sector- 16A, Faridabad - HSPCB",Faridabad,Haryana,"Faridabad, Haryana, India","Faridabad, Haryana, 121001, India",28.4031478,77.3105561
"Huda Sector, Fatehabad - HSPCB",Fatehabad,Haryana,"Fatehabad, Haryana, India","Fatehabad, Haryana, India",29.5359209,75.5752901
"NISE Gwal Pahari, Gurugram - IMD",Gurugram,Haryana,"Gurugram, Haryana, India","Gurugram, Haryana, India",28.4646148,77.0299194
"Sector-51, Gurugram - HSPCB",Gurugram,Haryana,"Gurugram, Haryana, India","Gurugram, Haryana, India",28.4646148,77.0299194
"Teri Gram, Gurugram - HSPCB",Gurugram,Haryana,"Gurugram, Haryana, India","Gurugram, Haryana, India",28.4646148,77.0299194
"Vikas Sadan, Gurugram - HSPCB",Gurugram,Haryana,"Gurugram, Haryana, India","Gurugram, Haryana, India",28.4646148,77.0299194
"Urban Estate-II, Hisar - HSPCB",Hisar,Haryana,"Hisar, Haryana, India","Hisar, Haryana, India",29.2396596,75.8174505
"Police Lines, Jind - HSPCB",Jind,Haryana,"Jind, Haryana, India","Jind, Haryana, 126100, India",29.3152073,76.314082
"Rishi Nagar, Kaithal - HSPCB",Kaithal,Haryana,"Kaithal, Haryana, India","Kaithal, Haryana, 132027, India",29.7996588,76.3989903
"Sector-12, Karnal - HSPCB",Karnal,Haryana,"Karnal, Haryana, India","Karnal, Haryana, India",29.7255766,76.9106924
"Sector-7, Kurukshetra - HSPCB",Kurukshetra,Haryana,"Kurukshetra, Haryana, India","Kurukshetra, Thanesar, Kurukshetra, Haryana, 132118, India",29.9693747,76.8482787
"General Hospital, Mandikhera - HSPCB",Mandikhera,Haryana,"Mandikhera, Haryana, India","Mandikhera, Ferozepur Jhirka, Nuh, Haryana, 122008, India",27.897075,76.9922014
"Sector-2 IMT, Manesar - HSPCB",Manesar,Haryana,"Manesar, Haryana, India","Manesar, Gurugram, Haryana, India",28.3247096,76.9263787
"Shastri Nagar, Narnaul - HSPCB",Narnaul,Haryana,"Narnaul, Haryana, India","Narnaul, Mahendragarh, Haryana, 123001, India",28.0438456,76.1062015
"Shyam Nagar, Palwal - HSPCB",Palwal,Haryana,"Palwal, Haryana, India","Palwal, Haryana, India",28.0599426,77.3223422
"Sector-6, Panchkula - HSPCB",Panchkula,Haryana,"Panchkula, Haryana, India","Panchkula, Haryana, 134109, India",30.6975401,76.8551066
"Sector-18, Panipat - HSPCB",Panipat,Haryana,"Panipat, Haryana, India","Panipat, Haryana, 132100, India",29.3912753,76.9771675
"MD University, Rohtak - HSPCB",Rohtak,Haryana,"Rohtak, Haryana, India","Rohtak, Haryana, 124001, India",28.9010899,76.5801935
